All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b9,0.0008191108820040001,0.000173980183899,0.0001711939461529,0.0011642850120559,4.533237921656109
DATA,300
b0,0.007096549961715,0.0078402757644645,0.0051486768061294996,0.020085502532309,5.02399699005764
b1,0.0028789011994395,0.002406713727396,0.001029437815305,0.0063150527421405,5.050373684614897
b2,0.0018024842720490001,0.0012192327994844999,0.00033504137536508337,0.0033567584468985833,5.099188617081381
b3,0.0013767362106585001,0.000714583438821,0.0010258414258714375,0.0031171610753509375,5.111971087055281
b4,0.001139301829971,0.0004943852545695,0.00023806504905225,0.00187175213359275,5.1689040013588965
b5,0.001171495590825,0.00037816613136450005,0.0002036114262106667,0.0017532731484001668,5.1690751381684095
b6,0.0011159809406055,0.0003059612853195,0.00038494457424217857,0.0018068868001671788,5.168217714177445
b7,0.0010796444257725,0.00023529741156450002,0.0001406796218361875,0.0014556214591731876,5.230237934505567
b8,0.0010665431230635,0.00020388062370750001,7.839654831008333e-05,0.0013488202950810834,5.251749748480506
b9,0.0009637593175289999,0.00017196022672650001,8.15761741251e-05,0.0012172957183806,5.255120040732436
DATA,350
b0,0.007436366286129,0.0082568112993615,0.00361984205665075,0.01931301964214125,5.775073859957047
b1,0.003054985631025,0.0025701465783645,0.003326123405713625,0.008951255615103125,5.790436684153974
b2,0.0020011112404364996,0.0012626690634825,0.00032839435152708335,0.003592174655446083,5.827989403740503
b3,0.0014897852088330004,0.0007227669120765,0.0005522551655304374,0.002764807286439938,5.842671653139405
b4,0.001419213018378,0.0005100121954455001,0.00012401298154145,0.00205323819536495,5.895177177153528
b5,0.001302675111219,0.00038525089621500007,0.0003406361987192917,0.0020285622061532917,5.8930099927820265
b6,0.0013464797687325002,0.00030909799638,0.00017148354423367857,0.0018270613093461787,5.924056477029808
b7,0.00131229388353,0.00023445507394949998,9.59369499469375e-05,0.0016426859074264374,6.021276382612996
b8,0.001226495757387,0.00020336023428449998,7.228682645491667e-05,0.0015021428181264166,6.007606231956743
b9,0.0010916748433365,0.0001651644823125,7.3700968641775e-05,0.001330540294290775,6.2515116998692974
DATA,400
b0,0.0082233723951495,0.0085894318763145,0.005828783265315,0.022641587536778997,6.479213849990629
b1,0.0033000364201125005,0.0026263840845795004,0.003464005189016625,0.009390425693708626,6.466392713133246
b2,0.002175350945133,0.0012498417248325,0.0014199184370227499,0.00484511110698825,6.507716605672613
b3,0.0017396326293225,0.000748364487663,0.0004192371561658125,0.002907234273151312,6.541491459705867
b4,0.001621682941914,0.0005121277645245,0.00017078218515965,0.00230459289159815,6.574415665469132
b5,0.0017042977463760003,0.00038573615408100004,0.00012776772685658334,0.0022178016273135836,6.630738014355302
b6,0.001634288778795,0.0003089064931755,0.000415077715713,0.0023582729876835003,6.629461248870939
b7,0.0015342181941374999,0.000237364540227,0.0001472361327615,0.0019188188671259998,6.6706069958163425
b8,0.0013868483171489998,0.00020211695745150001,4.303126802875e-05,0.0016319965426292498,6.879957964411005
b9,0.0012430761009465,0.00017005222616700002,9.790326002985e-05,0.00151103158714335,6.755627365666442
DATA,450
b0,0.008792524226011499,0.009004272869787,0.007016076706349751,0.02481287380214825,7.084846105775796
b1,0.0036140219599469997,0.0026770760887290003,0.002551904763095125,0.008843002811771125,7.149098268360831
b2,0.002336256613488,0.001280637651993,0.0009878590353763334,0.0046047533008573335,7.193207741715014
b3,0.0019763408345175,0.0007500663632520001,0.001157572653028125,0.0038839798507976247,7.2581537059741095
b4,0.001861569168975,0.0005084475968040001,0.00015277252532545,0.00252278929110445,7.336115799262188
b5,0.0019067548758659998,0.000381336857877,6.661158598341667e-05,0.0023547033197264164,7.3416875505354255
b6,0.001854557668725,0.00030706872764550003,7.564621046185714e-05,0.002237272606832357,7.57643114682287
b7,0.00170294934651,0.00024078036949649997,5.2752380725e-05,0.0019964820967315,7.526322020799853
b8,0.0015610642343145001,0.0002065186337055,0.00019155565597533334,0.0019591385239953337,7.451405453728512
b9,0.001361833361445,0.0001725906739005,3.8875348400325e-05,0.0015732993837458248,7.508307755226269
DATA,500
b0,0.009348923573271002,0.0094084126176315,0.009159487904981,0.027916824095883502,7.7595110246911645
b1,0.0038334694399965,0.002693836402614,0.0037186868721618754,0.010245992714772376,7.770352348336019
b2,0.0025378097780055,0.0013090762076894999,0.00042565069937458333,0.004272536685069583,7.875390664325096
b3,0.0022519824269699997,0.0007560576486884999,0.0007346669153775625,0.003742706991036062,7.874073469196446
b4,0.0022613621782514998,0.000514228618704,0.0002061785431579,0.0029817693401133997,8.048457141034305
b5,0.002141680413237,0.000385327284069,0.00021241975870608335,0.0027394274560120836,7.961677298415452
b6,0.002078359264746,0.0003117273528405,6.561329688078571e-05,0.0024556999144672853,8.189320989069529
b7,0.0018581964541244998,0.0002369911817355,8.937596430771875e-05,0.0021845636001677185,8.047720568720251
b8,0.0016806811585815,0.0002019669369075,0.00013802703728691668,0.0020206751327759166,8.132314698304981
b9,0.0015097046038139998,0.0001746961730535,9.1698777396225e-05,0.0017760995542637247,8.16841221053619
DATA,750
b0,0.0114723098231475,0.010555299348198,0.0015347267035395,0.023562335874885,10.871035246644169
b1,0.005132405727636,0.00295717275003,0.00132086870144125,0.00941044717910725,10.859633370651864
b2,0.0038726316997785,0.0013598453175885,0.00024089446136108333,0.005473371478728083,11.04855016071815
b3,0.0037215128541,0.000748220976675,0.0001845231745391875,0.004654257005314188,11.052849835949019
b4,0.0039033185923485004,0.0005203822860495001,0.0001634567626752,0.0045871576410732,11.139060585643165
b5,0.0036017179178699996,0.0003860061212130001,0.00010929217872520834,0.004097016217808208,11.154174225521274
b6,0.0032347808425725005,0.0003152554688445,9.220076857935715e-05,0.0036422370799963576,11.194571293657646
b7,0.002841344714397,0.00024104610201900001,5.59986801818125e-05,0.0031383894965978125,11.248962527606636
b8,0.002387905170003,0.000205154556576,4.9792126648944445e-05,0.0026428518532279443,11.587812170269899
b9,0.002181991445832,0.00017932653427050002,8.226271602325e-05,0.00244358069612575,11.331546943751164
DATA,1000
b0,0.0141004986944625,0.01102714263834,0.0065835053101182504,0.031711146642920754,13.868182221893221
b1,0.006763788638636999,0.0029596986714750004,0.0016106078401207499,0.011334095150232749,13.805483291158453
b2,0.0058105456409970006,0.001373373360063,0.00021971381890275002,0.007403632819962751,14.34147407033015
b3,0.005662803101586,0.0007755110855220001,0.001274512134841625,0.007712826321949625,13.95784000621643
b4,0.0055977792944774995,0.0005281354766325,0.00035073715262115004,0.00647665192373115,14.074731626547873
b5,0.005102434244085,0.00040119808787999995,0.00014801624153433333,0.0056516485734993335,14.376701205736026
b6,0.00416408263014,0.00032389405117049994,4.902219266764286e-05,0.004536998873978143,14.628833088092506
b7,0.0037932059058224995,0.000248992015257,0.00016890960978343752,0.0042111075308629365,14.712481122580357
b8,0.0033203486172060006,0.00021144542066850003,0.00022283920164527777,0.0037546332395197784,14.425135693978518
b9,0.0029298191540865,0.000183299067429,0.000154141837265325,0.003267260058780825,14.661196096916683
DATA,1250
b0,0.016428655944765,0.011270836112090999,0.009390787687152749,0.03709027974400875,17.163942420855165
b1,0.008569742494728,0.0030766919953755002,0.000559720443561625,0.012206154933665125,17.555112039670348
b2,0.007664772255036,0.0013891381289189999,0.0004319591680540834,0.009485869552009083,17.264098651125096
b3,0.0079121611488525,0.0007646245940130001,0.000507223448948875,0.009184009191814377,17.36297107138671
b4,0.007479850389062999,0.000529394531622,0.00026586679741740003,0.008275111718102399,17.623296507634223
b5,0.0060346365789885,0.0003974161033215,0.00019871697683512498,0.006630769659145125,17.649532572599128
b6,0.0052129382966085,0.0003217262149395,0.00029456921453985713,0.005829233726087857,17.68354428105522
b7,0.004634211480151501,0.0002504313742965,6.511255924121875e-05,0.004949755413689219,18.08496286906302
b8,0.004090803364911,0.00021696362333999998,0.0001255581866846389,0.004433325174935639,18.315509089268744
b9,0.0035727895330635003,0.00018910851795300002,5.16267493367e-05,0.0038135248003532,18.336506898282096
DATA,1500
b0,0.019020419684237996,0.011250828159972,0.01025462651159625,0.04052587435580625,21.319912622566335
b1,0.0096528315334575,0.0030759013607160003,0.0069762136845385,0.019704946578712,20.477944591082633
b2,0.01030245287499,0.0014131918627155,0.00039446421821291667,0.012110108955918419,20.850530357216485
b3,0.01029860030394,0.0008004839764905,0.00020176649559287499,0.011300850776023375,21.317491212044843
b4,0.0089138261973855,0.0005442577647059999,9.373226203025e-05,0.00955181622412175,21.258791514206678
b5,0.0075724206011129995,0.00040603852054649995,0.00012254377361383334,0.008101002895273332,21.65989610122051
b6,0.005966434720904999,0.0003287237902575,4.051075250439286e-05,0.0063356692636668925,21.940876599866897
b7,0.00557255471358,0.0002398579090365,0.00015944089682309377,0.005971853519439594,21.633191010798328
b8,0.0048440465600144995,0.00022409716621050004,0.00026431342121213886,0.005332457147437138,21.4846796952188
b9,0.0044565369142215,0.0001936979941095,5.750260315835e-05,0.00470773751148935,22.005408221273683
DATA,1750
b0,0.022626876423602997,0.011561067076398,0.002837234758772,0.037025178258772995,24.25193767703604
b1,0.012101694243028501,0.0031041648471735006,0.0008178869029506251,0.01602374599315263,24.31367475434672
b2,0.013655184302479499,0.0013617449051999998,0.0003354525736844166,0.015352381781363915,24.612516949302517
b3,0.012685269204667502,0.0007999277440815,0.0003320157993585,0.013817212748107502,24.543123459327035
b4,0.010346705862321,0.000538801192305,0.00024281148798765002,0.01112831854261365,24.533942127483897
b5,0.008505420468282,0.000404153096802,0.000167586763079,0.009077160328163,24.790963285136968
b6,0.0075048593737725,0.00033734386254599994,0.00046148510383707146,0.008303688340155572,24.666493246913888
b7,0.006572043144842999,0.000260974658886,0.00022987235570325,0.007062890159432249,25.20360653847456
b8,0.005722962151695,0.000221704443297,0.00023496325593441668,0.006179629850926417,24.970093228504993
b9,0.004835084604567,0.00019228804158000004,0.0002012869110331,0.0052286595571801,25.453693125629798
DATA,2000
b0,0.025487305363641,0.0115804629167535,0.0030491835204885,0.040116951800883,27.686248329351656
b1,0.0161341681377975,0.0031053256825545003,0.000882352585904125,0.020121846406256125,28.09068708785344
b2,0.016584219391614002,0.0014211800492685,0.0002717854222283333,0.018277184863110835,28.170049084117636
b3,0.0149075441004255,0.0008130294736484999,0.00037854007678106254,0.016099113650855063,28.19331579678692
b4,0.011471614334731501,0.0005623249802729999,0.00020322264172134997,0.012237161956725851,28.527168325614184
b5,0.010153261944651,0.00042318389751000007,0.00016521951571729166,0.010741665357878292,28.482224749517627
b6,0.0080479362430725,0.000358642627752,0.0001775092844452143,0.008584088155269716,28.967665344825946
b7,0.007594777591292999,0.0002638393925745,0.00019381959282328124,0.008052436576690782,28.992746014730074
b8,0.0068656803341595,0.00022644624631350003,0.0002958180719158611,0.007387944652388861,28.897702989634126
b9,0.006361985963304,0.00019043937791250002,8.37941886857e-05,0.006636219529902199,29.806249998742715
DATA,2250
b0,0.0283003890072,0.011671140440738999,0.00848215236328525,0.048453681811224246,30.771054267068394
b1,0.019945077889134,0.003059323295019,0.0012765409774148752,0.024280942161567877,31.299176066415384
b2,0.020046394415355,0.001435442711226,0.0007231261115520834,0.022204963238133084,31.05279179883655
b3,0.016738717182306004,0.000827698648209,0.000253126228926625,0.017819542059441626,31.434176077367738
b4,0.013396393181756998,0.0005667280638584999,0.00048019656678665,0.014443317812402148,31.820671095105354
b5,0.0108493822141695,0.00042452540947049997,0.0003373024713558333,0.011611210094995833,31.623050785739906
b6,0.0095718299271555,0.0003470137016865,0.00010258084096549998,0.010021424469807501,32.84735450113658
b7,0.007914690388134,0.0002782355295495,0.0001675017410889375,0.008360427658772436,32.40820372872986
b8,0.0077919710246445,0.00023328166247999998,0.00010750239663238888,0.008132755083756889,32.83676060673315
b9,0.0069220165431045,0.0001956142950795,0.00010880123591049999,0.0072264320740945,33.413031323987525
DATA,2500
