All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b7,1.063420555535238e-05,5.9381644758857146e-06,2.850126105523016e-06,1.942249613676111e-05,4.92217212729156
b8,1.1403473659521428e-05,6.25640303565e-06,3.3866298118866073e-06,2.1046506507058038e-05,4.9315878946799785
b9,1.3230437789761906e-05,6.78423684952381e-06,3.3628487486448416e-06,2.3377523387930557e-05,4.943169840844348
DATA,150
b0,2.3224153592886903e-06,3.028758487382738e-06,1.041368315262401e-06,6.392542161933829e-06,7.363925230689347
b1,3.795193356742857e-06,3.937990330752381e-06,1.7352932546704368e-06,9.468476942165674e-06,7.437297660857439
b2,5.195709776925e-06,4.309914740067857e-06,2.187940879680655e-06,1.1693565396673512e-05,7.456272014649585
b3,6.929490094380952e-06,4.588833655266667e-06,2.1724677127273812e-06,1.3690791462375e-05,7.514216117793694
b4,7.835926861294643e-06,4.930082627291667e-06,2.785615386470734e-06,1.5551624875057043e-05,7.496508203912526
b5,1.0872146646921427e-05,5.480747426035714e-06,2.7943906995154764e-06,1.9147284772472616e-05,7.523786808131263
b6,1.28372365401875e-05,5.938130844800001e-06,3.0511324035215277e-06,2.1826499788509028e-05,7.518019940005615
b7,1.4682458565790476e-05,5.695200894819048e-06,3.4439310963666665e-06,2.3821590556976193e-05,7.542761004529893
b8,1.751124634341429e-05,6.476301600075e-06,3.2422764758982142e-06,2.7229824419387504e-05,7.55528591806069
b9,1.999657944821428e-05,6.933436943392857e-06,3.1876501568134917e-06,3.011766654842063e-05,7.579879846423864
DATA,200
b0,2.6178149883410717e-06,3.448513517570238e-06,1.2917639059383928e-06,7.358092411849703e-06,10.020715718856081
b1,4.316177514811905e-06,4.287150001064286e-06,2.0904999618079363e-06,1.0693827477684127e-05,10.054985081544146
b2,5.814326660973214e-06,4.5202838789142864e-06,2.5403343551300596e-06,1.2874944895017558e-05,10.096604142570868
b3,8.08056266535238e-06,4.762025653485715e-06,2.5978149284448412e-06,1.5440403247282938e-05,10.129842283437029
b4,1.0460402191949407e-05,4.985147536473215e-06,3.0852790500615077e-06,1.853082877848413e-05,10.1464159314055
b5,1.321869813615e-05,5.558102635585713e-06,2.6519327158380952e-06,2.142873348757381e-05,10.187523537082598
b6,1.5793281555566665e-05,6.005322534808333e-06,2.9234364370097224e-06,2.4722040527384723e-05,10.19168141670525
b7,2.023160295001905e-05,6.030074926819048e-06,4.03938401076508e-06,3.0301061887603176e-05,10.203476057155058
b8,2.3465543719275e-05,6.348909145001786e-06,3.816171582521428e-06,3.363062444679821e-05,10.248086037812755
b9,2.756557290607143e-05,7.044618195357144e-06,3.689841832965278e-06,3.8300032934393855e-05,10.244836858706549
DATA,250
b0,2.901843011689881e-06,3.6852115521297615e-06,1.4819786883890873e-06,8.06903325220873e-06,12.615530325099826
b1,5.311794793380952e-06,4.419360849416667e-06,2.0633224353549606e-06,1.179447807815258e-05,12.635138719342649
b2,7.151212776080356e-06,4.6513431395089285e-06,1.7525112655544642e-06,1.3555067181143749e-05,12.716130453627557
b3,1.0123724369180952e-05,4.783967539428572e-06,2.7305134276432542e-06,1.7638205336252778e-05,12.69585712486878
b4,1.3388727518125002e-05,5.013861006041668e-06,2.765476921691468e-06,2.116806544585814e-05,12.792726848972961
b5,1.6690400939099996e-05,5.618876977157142e-06,3.159280943994643e-06,2.546855886025178e-05,12.748468748759478
