All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b0,0.0001449943189823345,0.00013814444906846962,0.0002845065021011535,0.0005676452701519575,17.840806654538028
b1,0.00015895898857649286,0.00014279260011833335,0.00028000650936663753,0.0005817580980614638,16.124815109884366
b2,0.00015916433573389823,0.0001406477046354375,0.00016791206532313155,0.00046772410569246724,19.306652914732695
b3,0.00016672275018035236,0.00014314204676165715,0.00018240389550873453,0.000492268692450744,18.48598507908173
b4,0.0001748872898696429,0.00014749539799855657,0.0002336311712468388,0.0005560138591150382,17.477264497079886
b5,0.0001791900639156214,0.00014911357516427141,0.00015501797953177082,0.0004833216186116636,17.87818232481368
b6,0.00018651325760100834,0.00015176065919352916,0.0002005124189761576,0.0005387863357706951,17.370516039663926
b7,0.000186600890528,0.00015400286416510477,7.953379480611746e-05,0.0004201375494992222,17.040655027027242
b8,0.0001953789299087625,0.0001562915700820446,5.2682486213077674e-05,0.0004043529862038848,16.861022434430197
b9,0.00020822253847857145,0.00016220685569041666,1.3837808399416667e-05,0.0003842672025684048,17.230505649349652
