All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b0,8.876845222113095e-07,1.3385446638690476e-06,1.6771818211835315e-06,3.9034110072638884e-06,0.11965151771437375
b1,1.3044914267642857e-06,1.852053202807143e-06,1.9690119809220237e-06,5.125556610493452e-06,0.10436114110052574
b2,1.3051011289125e-06,1.578090485142857e-06,2.000045995893452e-06,4.883237609948809e-06,0.11572354100644575
b3,1.4386703408095239e-06,1.7363873739142853e-06,2.2241535286107144e-06,5.399211243334523e-06,0.10876909969374551
b4,1.6584644548660716e-06,1.927632616741071e-06,2.3667750019017858e-06,5.952872073508928e-06,0.10515500558540225
b5,2.0901758467928573e-06,2.5919048182285714e-06,2.611291572629167e-06,7.293372237650596e-06,0.10889563173986974
b6,1.8957999095000003e-06,2.587605073754167e-06,2.7844941036569444e-06,7.2678990869111124e-06,0.10790634958539175
b7,1.985503227580952e-06,2.4357352346666665e-06,2.974808763061905e-06,7.396047225309524e-06,0.10648816172033575
b8,2.2044376237339284e-06,2.6446289017178576e-06,3.200586486075893e-06,8.049653011527678e-06,0.1095470202853905
b9,2.74448613047619e-06,3.4905443455952385e-06,2.3298683421061507e-06,8.564898818177578e-06,0.11893870809581125
DATA,60
b0,8.488953065511904e-07,1.223209602314881e-06,1.6957135697354166e-06,3.767818478601488e-06,0.12806804489810025
b1,1.1197851216857144e-06,1.3930284203809524e-06,1.9025366147242064e-06,4.415350156790873e-06,0.129621305735782
b2,1.3362972476035712e-06,1.5695494810285713e-06,2.1100184226053573e-06,5.0158651512375004e-06,0.12389194674324251
b3,1.514569065342857e-06,1.7813641563142859e-06,2.2974314301138888e-06,5.5933646517710315e-06,0.13046506477985498
b4,1.620718634627976e-06,1.9509727338541668e-06,2.5548850692485117e-06,6.126576437730655e-06,0.12463229184504601
b5,1.7737537356214283e-06,2.2110820282285718e-06,2.753168034056548e-06,6.738003797906548e-06,0.1247230457374825
b6,1.9454432832624998e-06,2.6292300188291665e-06,3.0285206675111115e-06,7.603193969602778e-06,0.12937949970364548
b7,2.0829716785904766e-06,2.7029431380571434e-06,2.609912513031746e-06,7.395827329679366e-06,0.13894252222962702
b8,2.279096848414286e-06,3.1539035262375003e-06,3.1454002185330354e-06,8.578400593184822e-06,0.13447259343229223
b9,2.6493189147023813e-06,3.474413893928571e-06,3.6871541173204367e-06,9.81088692595139e-06,0.13378158339764923
DATA,70
b0,1.409421129788095e-06,1.8338786922250002e-06,1.9374178789022816e-06,5.180717700915377e-06,0.15998120256699624
b1,1.571854642992857e-06,1.6659552726642858e-06,2.1927130763375e-06,5.430522991994643e-06,0.14756916381884375
b2,1.7602692380357144e-06,1.8844254858160713e-06,2.424235849286607e-06,6.068930573138393e-06,0.14788823248818525
b3,2.0204795642666667e-06,1.908441643333333e-06,2.7585600961059526e-06,6.6874813037059515e-06,0.1470255036838355
b4,2.200880858467262e-06,2.4540530007589285e-06,2.843242125689484e-06,7.4981759849156746e-06,0.1572575432946905
b5,2.3285123807999996e-06,2.6673580231499997e-06,3.219645891692857e-06,8.215516295642857e-06,0.14793293434195226
b6,2.5531183281625e-06,3.3406925568625e-06,3.3250886998652784e-06,9.218899584890278e-06,0.1562199303880335
b7,2.897089155047619e-06,3.6351907525333333e-06,4.183768575626191e-06,1.0716048483207143e-05,0.1641586241312325
b8,3.397761611260714e-06,3.729180649033929e-06,4.653200241071429e-06,1.1780142501366072e-05,0.15815617109183225
